cluster	gene
Fibroblast(Aorta)	Spcs1
Fibroblast(Aorta)	Golt1b
Fibroblast(Aorta)	Plat
Fibroblast(Aorta)	Agap1
Fibroblast(Aorta)	0910001L09Rik
Fibroblast(Aorta)	Rhoq
Fibroblast(Aorta)	Mt1
Fibroblast(Aorta)	Itm2c
Fibroblast(Aorta)	Pard3
Fibroblast(Aorta)	Snx18
Fibroblast(Aorta)	Mfap4
Fibroblast(Aorta)	Nox4
Fibroblast(Aorta)	Eri3
Fibroblast(Aorta)	Igfbp7
Fibroblast(Aorta)	Lman1
Fibroblast(Aorta)	1500011H22Rik
Fibroblast(Aorta)	Tecr
Fibroblast(Aorta)	Rarg
Fibroblast(Aorta)	Ssr3
Fibroblast(Aorta)	Rnd3
Fibroblast(Aorta)	Arcn1
Fibroblast(Aorta)	Daam1
Fibroblast(Aorta)	Gns
Fibroblast(Aorta)	Clstn1
Fibroblast(Aorta)	Man2b2
Fibroblast(Aorta)	Crtc3
Fibroblast(Aorta)	Npas2
Fibroblast(Aorta)	Glul
Fibroblast(Aorta)	Hyal1
Fibroblast(Aorta)	Lrp6
Fibroblast(Aorta)	Ces1d
Fibroblast(Aorta)	Pdk4
Fibroblast(Aorta)	Enpp2
Fibroblast(Aorta)	Plac8
Fibroblast(Aorta)	Zfp266
Fibroblast(Aorta)	Npepps
Fibroblast(Aorta)	Fap
Fibroblast(Aorta)	Copz2
Fibroblast(Aorta)	Sntb2
Fibroblast(Aorta)	Ccl11
Fibroblast(Aorta)	Armcx2
Fibroblast(Aorta)	Pdzrn3
Fibroblast(Aorta)	Sfrp1
Fibroblast(Aorta)	Oplah
Fibroblast(Aorta)	Arfgap3
Fibroblast(Aorta)	Cpt1a
Fibroblast(Aorta)	Slc25a24
Fibroblast(Aorta)	Zc3h11a
Fibroblast(Aorta)	Tns3
Fibroblast(Aorta)	Ptgr1
Fibroblast(Aorta)	Rnf2
Fibroblast(Aorta)	Arhgap10
Fibroblast(Aorta)	Sel1l
Fibroblast(Aorta)	Dexi
Fibroblast(Aorta)	Cadm3
Fibroblast(Aorta)	Wt1
Fibroblast(Aorta)	Nptn
Fibroblast(Aorta)	Pja1
Fibroblast(Aorta)	Fbln2
Fibroblast(Aorta)	Antxr2
Fibroblast(Aorta)	Sulf1
Fibroblast(Aorta)	Sox9
Fibroblast(Aorta)	Add1
Fibroblast(Aorta)	Fth1
Fibroblast(Aorta)	S1pr3
Fibroblast(Aorta)	Prdx6
Fibroblast(Aorta)	Farp1
Fibroblast(Aorta)	Cd55
Fibroblast(Aorta)	Ppic
Fibroblast(Aorta)	Nid1
Fibroblast(Aorta)	Prnp
Fibroblast(Aorta)	Lrig1
Fibroblast(Aorta)	Pigt
Fibroblast(Aorta)	Mir568
Fibroblast(Aorta)	Cbr1
Fibroblast(Aorta)	Ssr4
Fibroblast(Aorta)	Iah1
Fibroblast(Aorta)	Mpp6
Fibroblast(Aorta)	Tiparp
Fibroblast(Aorta)	Rpl12
Fibroblast(Aorta)	Sh3pxd2b
Fibroblast(Aorta)	Dph3
Fibroblast(Aorta)	9030425E11Rik
Fibroblast(Aorta)	Golim4
Fibroblast(Aorta)	Mustn1
Fibroblast(Aorta)	Fbln7
Fibroblast(Aorta)	Inmt
Fibroblast(Aorta)	Acadsb
Fibroblast(Aorta)	Tram1
Fibroblast(Aorta)	Eps8
Fibroblast(Aorta)	Hebp1
Fibroblast(Aorta)	Dcakd
Fibroblast(Aorta)	C7
Fibroblast(Aorta)	Tmem205
Fibroblast(Aorta)	Wnt4
Fibroblast(Aorta)	Disp1
Fibroblast(Aorta)	Dync2li1
Fibroblast(Aorta)	Itsn1
Fibroblast(Aorta)	Golph3
Fibroblast(Aorta)	Kdm5b
Fibroblast(Aorta)	Abca6
Fibroblast(Aorta)	Plp2
Fibroblast(Aorta)	Rab23
Fibroblast(Aorta)	Mxra7
Fibroblast(Aorta)	Plekhh2
Fibroblast(Aorta)	Arf4
Fibroblast(Aorta)	Hyi
Fibroblast(Aorta)	Rnf217
Fibroblast(Aorta)	Gm4980
Fibroblast(Aorta)	Sparc
Fibroblast(Aorta)	Impad1
Fibroblast(Aorta)	P4htm
Fibroblast(Aorta)	Pebp1
Fibroblast(Aorta)	Emp1
Fibroblast(Aorta)	Sdc1
Fibroblast(Aorta)	Rtn4rl1
Fibroblast(Aorta)	Slc25a4
Fibroblast(Aorta)	Glt8d1
Fibroblast(Aorta)	Mpv17
Fibroblast(Aorta)	Bscl2
Fibroblast(Aorta)	Rnft1
Fibroblast(Aorta)	Ism1
Fibroblast(Aorta)	Shisa4
Fibroblast(Aorta)	Serpina3n
Fibroblast(Aorta)	Nudt4
Fibroblast(Aorta)	Meis1
Fibroblast(Aorta)	Tulp3
Fibroblast(Aorta)	Plekhg3
Fibroblast(Aorta)	Gspt1
Fibroblast(Aorta)	Ltbp4
Fibroblast(Aorta)	Snx33
Fibroblast(Aorta)	Ccdc3
Fibroblast(Aorta)	Fibin
Fibroblast(Aorta)	Fgf7
Fibroblast(Aorta)	Nucb2
Fibroblast(Aorta)	3632451O06Rik
